,Name,link
0,Vitaminas y Suplementos,https://www.amazon.com.mx/b?ie=UTF8&node=9845682011&ref_=sd_allcat_vitamins_supplements
0,Farmacia,https://www.amazon.com.mx/b?ie=UTF8&node=9845666011&ref_=sd_allcat_drugstore
0,Equipo y Suministros Médicos,https://www.amazon.com.mx/b?ie=UTF8&node=9846045011&ref_=sd_allcat_med_supplies_equipment
0,Salud Sexual,https://www.amazon.com.mx/b?ie=UTF8&node=9845954011&ref_=sd_allcat_sexual_wellness
0,Cuidado Femenino,https://www.amazon.com.mx/b?ie=UTF8&node=16610217011&ref_=sd_allcat_feminine_care
0,Hogar y Limpieza,https://www.amazon.com.mx/b?ie=UTF8&node=11525771011&ref_=sd_allcat_household_supplies
0,Todo en Salud y Cuidado Personal,https://www.amazon.com.mx/salud-y-cuidado-personal/b?ie=UTF8&node=9482610011&ref_=sd_allcat_personal_care_all
0,Maquillaje,https://www.amazon.com.mx/b?ie=UTF8&node=10178470011&ref_=sd_allcat_makeup
0,Cuidado de la piel,https://www.amazon.com.mx/b?ie=UTF8&node=10178562011&ref_=sd_allcat_skincare
0,Cuidado del cabello,https://www.amazon.com.mx/b?ie=UTF8&node=10178456011&ref_=sd_allcat_hair_care
0,Fragancias,https://www.amazon.com.mx/b?ie=UTF8&node=10178384011&ref_=sd_allcat_fragance
0,Cuidado de Uñas,https://www.amazon.com.mx/b?ie=UTF8&node=10178508011&ref_=sd_allcat_nail_care
0,Brochas y accesorios,https://www.amazon.com.mx/b?ie=UTF8&node=10178662011&ref_=sd_allcat_tools_accessories
0,Afeitado y depilación,https://www.amazon.com.mx/b?ie=UTF8&node=9845475011&ref_=sd_allcat_shave_hair_removal
0,Baño y Cuerpo,https://www.amazon.com.mx/b?ie=UTF8&node=10178564011&ref_=sd_allcat_bath
0,Todo en belleza,https://www.amazon.com.mx/b?ie=UTF8&node=11260452011&ref_=sd_allcat_beauty_all
0,Medición e Inspección ,https://www.amazon.com.mx/b?ie=UTF8&node=12499362011&ref_=sd_allcat_test_measurement
0,Seguridad,https://www.amazon.com.mx/b?ie=UTF8&node=12499368011&ref_=sd_allcat_safety
0,Limpieza y Saneamiento,https://www.amazon.com.mx/b?ie=UTF8&node=12499387011&ref_=sd_allcat_janitorial
0,Herramientas Industriales,https://www.amazon.com.mx/b?ie=UTF8&node=9828215011&ref_=sd_allcat_power_handtools
0,Ferretería Industrial,https://www.amazon.com.mx/b?ie=UTF8&node=9827751011&ref_=sd_allcat_hardware
0,"Todo en Industria, Empresas y Ciencia",https://www.amazon.com.mx/industrial-scientific/b?ie=UTF8&node=11076223011&ref_=sd_allcat_all_industrial
